technology_scenario,year,target_bev,predicted_bev,error_pp
conservative_technology,2026,0.37,0.3699999954816478,-4.51835219239527e-07
conservative_technology,2030,0.5,0.5000000018352064,1.8352064312665561e-07
conservative_technology,2035,0.65,0.6499999983308601,-1.66913993737694e-07
central_technology,2026,0.38,0.3799999985477205,-1.4522794633542446e-07
central_technology,2030,0.55,0.5500000005576432,5.57643153875631e-08
central_technology,2035,0.75,0.7499999993405494,-6.59450605233758e-08
accelerated_technology,2026,0.4,0.399999999163566,-8.364339776356644e-08
accelerated_technology,2030,0.62,0.6200000000761923,7.619227471167278e-09
accelerated_technology,2035,0.82,0.8199999992474596,-7.525403633579232e-08
