technology_scenario,year,target_bev,predicted_bev,error_pp
conservative_technology,2026,0.37,0.3699999999838158,-1.6184220630321986e-09
conservative_technology,2030,0.5,0.4999999999984894,-1.510569447304988e-10
conservative_technology,2035,0.65,0.6499999999755568,-2.444322522165976e-09
central_technology,2026,0.38,0.379999999999596,-4.039546475098632e-11
central_technology,2030,0.55,0.5500000000002084,2.0838886172214188e-11
central_technology,2035,0.75,0.7500000000000072,7.216449660063519e-13
accelerated_technology,2026,0.4,0.3999999999886515,-1.1348533224264654e-09
accelerated_technology,2030,0.62,0.620000000003786,3.7859715362742463e-10
accelerated_technology,2035,0.82,0.8199999999931277,-6.872280522429718e-10
